date,2y_par_yield,5y_par_yield,10y_par_yield,usd_vnd_central,usd_vnd_market,deposit_rate,lending_rate,us_10y_yield,us_2y_yield,dxy_trade_weighted,cpi_vn_index,cpi_yoy_pct,cpi_mom_pct,sbv_refinancing_pct,sbv_discount_pct
1996-02,,,,,,,21.0,5.8055,5.0255,,9.2081588122,,,,
1996-03,,,,,,,21.0,6.268571428571428,5.660952380952381,,9.2081588122,,,,
1996-04,,,,,,,21.0,6.511363636363637,5.957272727272727,,9.2081588122,,,,
1996-05,,,,,,,21.0,6.736818181818182,6.095,,9.2081588122,,,,
1996-06,,,,,,,21.0,6.912000000000001,6.297,,9.2081588122,,,,
1996-07,,,,,,,18.9,6.865454545454545,6.27,,9.2081588122,,,,
1996-08,,,,,,,19.8,6.635454545454545,6.029090909090908,,9.2081588122,,,,
1996-09,,,,,,,19.8,6.832000000000001,6.234,,9.2081588122,,,,
1996-10,,,,,,,18.9,6.533636363636364,5.912727272727273,,9.2081588122,,,,
1996-11,,,,,,,18.9,6.203684210526316,5.701578947368421,,9.2081588122,,,,
1996-12,,,,,,,18.9,6.302380952380952,5.781904761904762,,9.2081588122,,,,
1997-01,,,,,,9.9,15.0,6.579047619047619,6.008095238095239,,-0.1659751037,,,,
1997-02,,,,,,9.9,14.0,6.419473684210526,5.898421052631579,,-0.1659751037,,,,
1997-03,,,,,,10.2,15.0,6.6945,6.2219999999999995,,-0.1659751037,,,,
1997-04,,,,,,9.9,15.0,6.885454545454545,6.448181818181819,,-0.1659751037,,,,
1997-05,,,,,,9.3,15.0,6.7109523809523814,6.276666666666666,,-0.1659751037,,,,
1997-06,,,,,,7.95,15.0,6.493809523809524,6.094761904761905,,-0.1659751037,,,,
1997-07,,,,,,7.5,15.0,6.220454545454545,5.890909090909091,,-0.1659751037,,,,
1997-08,,,,,,7.5,15.0,6.298571428571429,5.939047619047619,,-0.1659751037,,,,
1997-09,,,,,,7.5,13.5,6.208571428571428,5.881904761904762,,-0.1659751037,,,,
1997-10,,,,,,7.5,13.5,6.029545454545455,5.771818181818182,,-0.1659751037,,,,
1997-11,,,,,,7.5,13.5,5.875,5.712777777777777,,-0.1659751037,,,,
1997-12,,,,,,7.5,13.5,5.808636363636364,5.715,,-0.1659751037,,,,
1998-01,,,,,,8.7,14.4,5.5445,5.357,,-12.8448313854,,,,
1998-02,,,,,,9.15,14.4,5.574736842105263,5.417894736842105,,-12.8448313854,,,,
1998-03,,,,,,9.0,14.4,5.647272727272727,5.5613636363636365,,-12.8448313854,,,,
1998-04,,,,,,9.42,14.4,5.637619047619047,5.564285714285714,,-12.8448313854,,,,
1998-05,,,,,,9.42,14.4,5.6525,5.593500000000001,,-12.8448313854,,,,
1998-06,,,,,,9.42,14.4,5.496363636363636,5.52,,-12.8448313854,,,,
1998-07,,,,,,9.15,14.4,5.461363636363637,5.458181818181818,,-12.8448313854,,,,
1998-08,,,,,,9.3,14.4,5.341904761904762,5.268571428571429,,-12.8448313854,,,,
1998-09,,,,,,9.3,14.4,4.806666666666667,4.666190476190476,,-12.8448313854,,,,
1998-10,,,,,,9.3,14.4,4.529999999999999,4.091904761904762,,-12.8448313854,,,,
1998-11,,,,,,9.3,14.4,4.827368421052632,4.54,,-12.8448313854,,,,
1998-12,,,,,,9.3,14.4,4.645,4.506363636363637,,-12.8448313854,,,,
1999-01,,,,,,9.16,13.2,4.722105263157895,4.615263157894737,,-0.3557042246,,,,
1999-02,,,,,,9.16,13.2,4.998947368421053,4.876315789473685,,-0.3557042246,,,,
1999-03,,,,,,9.0,13.2,5.232608695652174,5.05304347826087,,-0.3557042246,,,,
1999-04,,,,,,9.07,13.2,5.184545454545455,4.976818181818182,,-0.3557042246,,,,
1999-05,,,,,,8.93,13.2,5.539499999999999,5.2545,,-0.3557042246,,,,
