date,bar_sell,ring_sell,diff_vnd,diff_pct,year
2020-07-23,54800000,52700000,2100000,3.984819734345351,2020
2020-07-24,55400000,53250000,2150000,4.037558685446009,2020
2020-07-27,56900000,54250000,2650000,4.88479262672811,2020
2020-07-28,57400000,54750000,2650000,4.840182648401827,2020
2020-07-29,57700000,54750000,2950000,5.3881278538812785,2020
2020-07-30,57800000,54800000,3000000,5.474452554744526,2020
2020-07-31,57980000,55100000,2880000,5.226860254083484,2020
2020-08-01,57930000,55050000,2880000,5.231607629427793,2020
2020-08-03,57900000,55000000,2900000,5.2727272727272725,2020
2020-08-04,57930000,55050000,2880000,5.231607629427793,2020
2020-08-05,59100000,56050000,3050000,5.44157002676182,2020
2020-08-06,61400000,56950000,4450000,7.813871817383671,2020
2020-08-07,62400000,57600000,4800000,8.333333333333332,2020
2020-08-08,61700000,56500000,5200000,9.20353982300885,2020
2020-08-10,58280000,55900000,2380000,4.257602862254025,2020
2020-08-11,55480000,53950000,1530000,2.83595922150139,2020
2020-08-12,55180000,53550000,1630000,3.0438842203548084,2020
2020-08-13,55780000,53600000,2180000,4.067164179104477,2020
2020-08-14,56170000,53900000,2270000,4.211502782931354,2020
2020-08-15,56180000,53810000,2370000,4.404385801895558,2020
2020-08-17,56500000,53700000,2800000,5.21415270018622,2020
2020-08-18,58400000,55350000,3050000,5.510388437217705,2020
2020-08-19,56950000,55100000,1850000,3.3575317604355717,2020
2020-08-20,56450000,54000000,2450000,4.537037037037037,2020
2020-08-21,56750000,54250000,2500000,4.6082949308755765,2020
2020-08-22,56750000,54250000,2500000,4.6082949308755765,2020
2020-08-24,56550000,54100000,2450000,4.5286506469500925,2020
2020-08-25,56150000,53750000,2400000,4.465116279069767,2020
2020-08-26,56000000,53600000,2400000,4.477611940298507,2020
2020-08-27,56100000,54150000,1950000,3.6011080332409975,2020
2020-08-28,56750000,54350000,2400000,4.415823367065317,2020
2020-08-29,56900000,54500000,2400000,4.4036697247706424,2020
2020-08-31,57400000,54850000,2550000,4.649042844120328,2020
2020-09-01,57700000,55400000,2300000,4.1516245487364625,2020
2020-09-03,56800000,54500000,2300000,4.220183486238533,2020
2020-09-04,56800000,54600000,2200000,4.029304029304029,2020
2020-09-05,56700000,54500000,2200000,4.036697247706423,2020
2020-09-07,56500000,54350000,2150000,3.9558417663293466,2020
2020-09-08,56450000,54150000,2300000,4.247460757156047,2020
2020-09-10,56750000,54600000,2150000,3.9377289377289375,2020
2020-09-11,56650000,54550000,2100000,3.84967919340055,2020
2020-09-12,56550000,54450000,2100000,3.8567493112947657,2020
2020-09-14,56500000,54500000,2000000,3.669724770642202,2020
2020-09-15,56700000,54850000,1850000,3.372835004557885,2020
2020-09-16,56750000,54850000,1900000,3.4639927073837744,2020
2020-09-17,56500000,54650000,1850000,3.385178408051235,2020
2020-09-18,56550000,54800000,1750000,3.1934306569343067,2020
2020-09-19,56500000,54750000,1750000,3.1963470319634704,2020
2020-09-21,56550000,54600000,1950000,3.571428571428571,2020
2020-09-22,56150000,54050000,2100000,3.885291396854764,2020
2020-09-23,55870000,53850000,2020000,3.7511606313834727,2020
2020-09-24,55000000,53200000,1800000,3.3834586466165413,2020
2020-09-25,55650000,53500000,2150000,4.018691588785047,2020
2020-09-26,55600000,53400000,2200000,4.119850187265917,2020
2020-09-28,55300000,53100000,2200000,4.143126177024483,2020
2020-09-29,55550000,53400000,2150000,4.02621722846442,2020
2020-09-30,55600000,53400000,2200000,4.119850187265917,2020
2020-10-01,56050000,53550000,2500000,4.6685340802987865,2020
2020-10-02,56550000,53800000,2750000,5.111524163568773,2020
2020-10-03,56450000,53650000,2800000,5.21901211556384,2020
2020-10-05,56350000,53700000,2650000,4.934823091247672,2020
2020-10-06,56350000,53860000,2490000,4.6230969179353885,2020
2020-10-07,56200000,53530000,2670000,4.987857276293667,2020
2020-10-08,56150000,53550000,2600000,4.855275443510738,2020
2020-10-09,56300000,53750000,2550000,4.744186046511628,2020
2020-10-10,56450000,53900000,2550000,4.7309833024118735,2020
2020-10-12,56400000,54000000,2400000,4.444444444444445,2020
2020-10-13,56500000,54100000,2400000,4.436229205175601,2020
2020-10-14,56300000,53770000,2530000,4.705225962432583,2020
2020-10-15,56250000,53700000,2550000,4.748603351955307,2020
2020-10-19,56400000,54000000,2400000,4.444444444444445,2020
2020-10-20,56400000,53970000,2430000,4.502501389660923,2020
2020-10-21,56450000,54100000,2350000,4.343807763401109,2020
2020-10-22,56450000,54150000,2300000,4.247460757156047,2020
2020-10-23,56400000,54050000,2350000,4.3478260869565215,2020
2020-10-24,56350000,53900000,2450000,4.545454545454546,2020
2020-10-26,56350000,53960000,2390000,4.429206819866568,2020
2020-10-27,56350000,53930000,2420000,4.4872983497125905,2020
2020-10-28,56400000,54050000,2350000,4.3478260869565215,2020
2020-10-29,56300000,53850000,2450000,4.549675023212628,2020
2020-10-30,56350000,53720000,2630000,4.895755770662696,2020
2020-10-31,56450000,53850000,2600000,4.828226555246054,2020
2020-11-02,56600000,54300000,2300000,4.23572744014733,2020
