date,gold_usd_oz,usd_vnd,usd_cny
2017-11-24,1286.699951171875,22248.0,6.5833001136779785
2017-11-27,1293.800048828125,22454.0,6.601200103759766
2017-11-28,1294.699951171875,22455.0,6.595300197601318
2017-11-29,1282.0999755859375,22367.0,6.609399795532227
2017-11-30,1273.199951171875,22275.0,6.60830020904541
2017-12-01,1278.800048828125,22382.0,6.612100124359131
2017-12-04,1274.300048828125,22361.0,6.6346001625061035
2017-12-05,1261.5999755859375,22454.0,6.618899822235107
2017-12-06,1262.800048828125,22393.0,6.616799831390381
2017-12-07,1249.800048828125,22395.0,6.6143999099731445
2017-12-08,1245.199951171875,22301.0,6.618000030517578
2017-12-11,1243.699951171875,22407.0,6.618299961090088
2017-12-12,1238.5,22441.0,6.617099761962891
2017-12-13,1245.4000244140625,22208.0,6.6203999519348145
2017-12-14,1253.800048828125,22476.0,6.61870002746582
2017-12-15,1254.300048828125,22473.0,6.60860013961792
2017-12-18,1262.199951171875,22395.0,6.6149001121521
2017-12-19,1260.699951171875,22319.0,6.614200115203857
2017-12-20,1266.0999755859375,22306.0,6.605000019073486
2017-12-21,1267.300048828125,22370.0,6.579699993133545
2017-12-22,1275.4000244140625,22355.0,6.585400104522705
2017-12-25,,22335.0,6.57859992980957
2017-12-26,1284.0999755859375,22363.0,6.53879976272583
2017-12-27,1287.0,22366.0,6.543099880218506
2017-12-28,1294.0999755859375,22370.0,6.554699897766113
2017-12-29,1306.300048828125,22343.0,6.531599998474121
2018-01-01,,22325.0,6.50570011138916
2018-01-02,1313.699951171875,22384.0,6.505799770355225
2018-01-03,1316.199951171875,22378.0,6.49399995803833
2018-01-04,1319.4000244140625,22365.0,6.5030999183654785
2018-01-05,1320.300048828125,22419.0,6.493299961090088
2018-01-08,1318.5999755859375,22410.0,6.487500190734863
2018-01-09,1311.699951171875,22358.0,6.497600078582764
2018-01-10,1317.4000244140625,22482.0,6.529399871826172
2018-01-11,1320.5999755859375,22202.0,6.507199764251709
2018-01-12,1333.4000244140625,22236.0,6.490200042724609
2018-01-15,,22365.0,6.456200122833252
2018-01-16,1335.4000244140625,22299.0,6.435200214385986
2018-01-17,1338.0,22424.0,6.442299842834473
2018-01-18,1326.0,22385.0,6.43209981918335
2018-01-19,1331.9000244140625,22475.0,6.420599937438965
2018-01-22,1330.9000244140625,22675.0,6.4029998779296875
2018-01-23,1335.699951171875,22675.5,6.404399871826172
2018-01-24,1355.9000244140625,22675.5,6.402900218963623
2018-01-25,1362.4000244140625,22678.400390625,6.36929988861084
2018-01-26,1351.5999755859375,22676.0,6.322800159454346
2018-01-29,,22666.0,6.315899848937988
2018-01-30,1335.4000244140625,22676.099609375,6.336299896240234
2018-01-31,1339.0,22661.80078125,6.321100234985352
2018-02-01,1344.300048828125,22674.80078125,6.2881999015808105
2018-02-02,1333.699951171875,22675.80078125,6.298399925231934
2018-02-05,1333.0,22674.5,6.307600021362305
2018-02-06,1326.0999755859375,22675.5,6.289700031280518
2018-02-07,1311.5999755859375,22665.099609375,6.28249979019165
2018-02-08,1316.9000244140625,22660.0,6.267600059509277
2018-02-09,1313.0999755859375,22667.400390625,6.326300144195557
2018-02-12,1324.199951171875,22671.30078125,6.286900043487549
2018-02-13,1328.0999755859375,22678.0,6.326499938964844
2018-02-14,1355.5,22678.5,6.340000152587891
2018-02-15,1352.0999755859375,22678.5,6.3460001945495605
2018-02-16,1353.199951171875,22672.5,6.3471999168396
2018-02-19,,22844.0,6.340099811553955
2018-02-20,1328.800048828125,22662.0,6.348400115966797
2018-02-21,1330.0,22682.599609375,6.346199989318848
2018-02-22,1330.5999755859375,22687.599609375,6.34660005569458
2018-02-23,1328.199951171875,22705.5,6.350200176239014
2018-02-26,1330.699951171875,22711.5,6.327300071716309
2018-02-27,1315.5,22709.30078125,6.3140997886657715
2018-02-28,1315.5,22718.80078125,6.316699981689453
2018-03-01,1302.9000244140625,22722.5,6.330900192260742
2018-03-02,1321.0999755859375,22715.0,6.357399940490723
2018-03-05,1318.0999755859375,22725.0,6.350299835205078
2018-03-06,1333.5999755859375,22730.0,6.348899841308594
2018-03-07,1326.0,22735.0,6.3094000816345215
2018-03-08,1319.9000244140625,22722.5,6.324999809265137
2018-03-09,1322.4000244140625,22725.0,6.341599941253662
2018-03-12,1319.4000244140625,22723.5,6.328499794006348
2018-03-13,1325.9000244140625,22727.5,6.329100131988525
2018-03-14,1324.4000244140625,22731.5,6.320400238037109
2018-03-15,1316.800048828125,22735.0,6.315999984741211
2018-03-16,1311.300048828125,22744.400390625,6.320899963378906
2018-03-19,1316.800048828125,22713.30078125,6.338200092315674
2018-03-20,1311.0999755859375,22739.5,6.331600189208984
2018-03-21,1320.699951171875,22734.80078125,6.332900047302246
2018-03-22,1326.5999755859375,22738.0,6.3206000328063965
2018-03-23,1349.300048828125,22770.0,6.334700107574463
2018-03-25,,22757.0,6.320000171661377
2018-03-26,1354.4000244140625,22780.5,6.27239990234375
2018-03-27,1341.300048828125,22784.0,6.281799793243408
2018-03-28,1324.199951171875,22777.900390625,6.295599937438965
2018-03-29,1322.800048828125,22759.0,6.288899898529053
2018-04-01,,22505.0,6.282199859619141
2018-04-02,1342.0999755859375,22775.0,6.279399871826172
2018-04-03,1332.800048828125,22775.0,6.288400173187256
2018-04-04,1335.800048828125,22780.5,6.304200172424316
2018-04-05,1324.300048828125,22778.0,6.3024001121521
2018-04-06,1331.9000244140625,,
2018-04-08,,22767.5,6.308599948883057
2018-04-09,1336.300048828125,22374.0,6.3053998947143555
2018-04-10,1342.0,22757.5,6.281599998474121
2018-04-11,1356.5,22755.5,6.268599987030029
2018-04-12,1338.4000244140625,22753.5,6.290999889373779
2018-04-13,1344.800048828125,,
2018-04-15,,22751.5,6.274099826812744
2018-04-16,1347.5,22742.5,6.275700092315674
2018-04-17,1347.199951171875,22737.5,6.2804999351501465
2018-04-18,1351.199951171875,22739.0,6.273399829864502
2018-04-19,1346.800048828125,22744.0,6.27810001373291
2018-04-20,1336.699951171875,,
2018-04-22,,22428.0,6.295499801635742
2018-04-23,1322.5,22736.0,6.316100120544434
2018-04-24,1331.4000244140625,22734.0,6.3059000968933105
2018-04-25,1321.199951171875,22734.0,6.324699878692627
2018-04-26,1316.300048828125,22732.0,6.335400104522705
2018-04-27,1320.300048828125,,
2018-04-29,,22728.5,6.336999893188477
2018-04-30,1316.199951171875,22728.5,6.332099914550781
2018-05-01,1303.800048828125,22494.0,6.332300186157227
2018-05-02,1302.5999755859375,22726.0,6.361499786376953
2018-05-03,1310.699951171875,22727.5,6.352700233459473
2018-05-04,1312.699951171875,,
2018-05-06,,22416.0,6.361700057983398
2018-05-07,1312.199951171875,22733.5,6.366099834442139
2018-05-08,1312.0,22737.5,6.369699954986572
2018-05-09,1311.300048828125,22742.0,6.361400127410889
2018-05-10,1320.800048828125,22458.0,6.348199844360352
2018-05-11,1319.0,,
2018-05-13,,22398.0,6.333099842071533
2018-05-14,1316.5,22732.5,6.3383002281188965
2018-05-15,1288.9000244140625,22735.5,6.376800060272217
2018-05-16,1290.199951171875,22737.5,6.370500087738037
2018-05-17,1288.199951171875,22740.0,6.366199970245361
2018-05-18,1290.199951171875,,
2018-05-20,,22428.0,6.382800102233887
2018-05-21,1290.199951171875,22736.5,6.381100177764893
2018-05-22,1291.699951171875,22734.5,6.364200115203857
2018-05-23,1289.300048828125,22739.0,6.388800144195557
2018-05-24,1303.699951171875,22743.0,6.376399993896484
2018-05-25,1303.300048828125,,
2018-05-27,,22746.0,6.368599891662598
2018-05-28,,22779.5,6.3983001708984375
2018-05-29,1298.699951171875,22802.5,6.416600227355957
2018-05-30,1301.5,22820.0,6.418000221252441
2018-05-31,1300.0999755859375,22771.0,6.409299850463867
2018-06-01,1294.800048828125,,
2018-06-03,,22533.0,6.419400215148926
2018-06-04,1293.0999755859375,22532.0,6.4070000648498535
2018-06-05,1297.5,22794.5,6.40500020980835
2018-06-06,1297.0999755859375,22773.5,6.387899875640869
2018-06-07,1298.699951171875,22767.0,6.392099857330322
2018-06-08,1298.0999755859375,,
2018-06-10,,22366.0,6.405700206756592
2018-06-11,1298.9000244140625,22780.5,6.391600131988525
2018-06-12,1295.0999755859375,22778.5,6.4004998207092285
2018-06-13,1296.9000244140625,22777.5,6.397299766540527
2018-06-14,1304.0,22778.0,6.4045000076293945
2018-06-15,1274.5999755859375,,
2018-06-17,,22781.0,6.433000087738037
2018-06-18,1276.199951171875,22801.0,6.438799858093262
2018-06-19,1275.5999755859375,22818.5,6.485499858856201
2018-06-20,1271.199951171875,22832.5,6.47160005569458
2018-06-21,1267.199951171875,22842.0,6.492099761962891
2018-06-22,1267.4000244140625,,
2018-06-24,,22840.0,6.504300117492676
2018-06-25,1265.5999755859375,22865.0,6.539000034332275
2018-06-26,1256.5999755859375,22886.0,6.5782999992370605
2018-06-27,1252.800048828125,22901.5,6.601900100708008
2018-06-28,1247.800048828125,22906.0,6.627399921417236
2018-06-29,1251.300048828125,,
2018-07-01,,22923.5,6.624300003051758
2018-07-02,1239.800048828125,22919.5,6.6666998863220215
2018-07-03,1251.5999755859375,23011.0,6.640999794006348
2018-07-04,,23004.0,6.63129997253418
2018-07-05,1257.300048828125,23006.5,6.6367998123168945
2018-07-06,1254.300048828125,,
2018-07-08,,22602.400390625,6.639200210571289
2018-07-09,1258.0999755859375,23005.0,6.615200042724609
2018-07-10,1253.800048828125,23004.5,6.631400108337402
2018-07-11,1242.800048828125,23009.0,6.682799816131592
2018-07-12,1245.0,23013.0,6.665900230407715
