"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Lượt xem video trong tối thiểu 1 phút","Số Giây xem","Số Giây xem trung bình","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ"
1728256645201927,,198980770851754,"Chim Cút",,322,"07/04/2026 02:30",,,"Trọn đời",1318,425,30,13319.49,10.468,411,29,22,18,0,4
1404941771445075,,198980770851754,"Chim Cút",,832,"07/04/2026 06:00",,,"Trọn đời",2252,846,71,28845.648,13.166,819,69,62,50,1,11
1478720366808342,,198980770851754,"Chim Cút",,800,"07/04/2026 07:30",,,"Trọn đời",1995,712,70,38205.919,20.111,690,68,48,38,0,10
861776889810547,,198980770851754,"Chim Cút",,477,"07/04/2026 22:30",,,"Trọn đời",1198,227,18,6748.676,5.92,210,18,17,12,0,5
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,"Trọn đời",2069,952,104,28863.454,14.346,952,103,29,28,0,1
1669801484232581,,198980770851754,"Chim Cút",,587,"07/05/2026 06:00",,,"Trọn đời",373,46,1,1119.096,4.144,46,1,5,4,0,1
2090147175046117,,198980770851754,"Chim Cút",,592,"07/05/2026 07:30",,,"Trọn đời",2204,791,54,21013.534,9.2,760,53,56,49,1,6
2221577595308956,,198980770851754,"Chim Cút",,644,"07/06/2026 06:00",,,"Trọn đời",1634,515,35,12876.455,8.527,503,35,23,20,0,3
1309229757855084,,198980770851754,"Chim Cút",,899,"07/06/2026 07:30",,,"Trọn đời",2110,681,46,18447.335,9.096,660,45,51,39,0,12
1695603038426881,,198980770851754,"Chim Cút",,394,"07/07/2026 06:00",,,"Trọn đời",1691,558,18,9364.759,6.079,539,17,26,22,1,3
1735397920788828,,198980770851754,"Chim Cút",,673,"07/07/2026 07:30",,,"Trọn đời",1262,409,35,12876.985,10.503,396,34,31,26,0,5
1433900918495092,,198980770851754,"Chim Cút",,459,"07/08/2026 06:00",,,"Trọn đời",1054,400,17,9092.611,9.011,392,17,25,21,0,4
1004677745257252,,198980770851754,"Chim Cút",,642,"07/08/2026 07:30",,,"Trọn đời",1096,402,16,10243.674,9.8,400,16,25,23,0,2
1603665444197059,,198980770851754,"Chim Cút","Ký ức năm 1979: vì sao mỗi cú sốc Iran lại khiến thị trường dầu lo sợ?",1063,"03/18/2026 06:00",,,"Trọn đời",10488,5488,375,196032.501,18.67,5214,355,164,136,11,17
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,"Trọn đời",6022,2773,150,58539.69,8.576,2366,136,133,106,15,12
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,"Trọn đời",15015,5874,301,150255.518,9.111,5452,270,218,161,31,26
1573073453955923,,198980770851754,"Chim Cút",,39,"02/22/2026 02:42",,,"Trọn đời",15,59,0,931.425,11.358,58,0,0,0,0,0
1438805088281732,,198980770851754,"Chim Cút",,9,"02/23/2026 07:01",,,"Trọn đời",7283,4878,0,55465.364,7.361,4827,0,72,69,3,0
915378311245387,,198980770851754,"Chim Cút","AI vs #FPT",759,"02/25/2026 02:19",,,"Trọn đời",10094,5555,294,150248.283,12.71,4655,276,242,213,20,9
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,"Trọn đời",7800,5225,0,80010.555,8.595,4694,0,135,126,7,2
1258944193002378,,198980770851754,"Chim Cút",,142,"03/07/2026 21:37",,,"Trọn đời",11814,7661,1092,282823.141,18.821,6399,1041,392,317,22,53
2407412916448159,,198980770851754,"Chim Cút","Một đoạn chia sẻ rất đáng suy ngẫm của Peter Lynch",140,"03/09/2026 03:30",,,"Trọn đời",6079,3151,410,101189.541,15.145,2867,402,150,134,0,16
1475794180793110,,198980770851754,"Chim Cút","Stanley Druckenmiller chia sẻ rằng ông không đứng hẳn về “phân tích cơ bản” hay “phân tích kỹ thuật”, mà kết hợp cả hai.",153,"03/14/2026 01:41",,,"Trọn đời",4365,1587,166,45113.385,8.545,1442,165,93,82,1,10
1404529320993923,,198980770851754,"Chim Cút","Stanley Druckenmiller chia sẻ về sự đa dạng hoá",108,"03/14/2026 03:00",,,"Trọn đời",3168,1109,89,26389.384,6.128,977,86,61,55,0,6
790660387424295,,198980770851754,"Chim Cút","Ray Dalio: Cỗ Máy Kinh Tế Vận Hành Như Thế Nào?",1861,"03/14/2026 22:59",,,"Trọn đời",4645,2076,225,166748.413,28.293,1735,192,215,141,7,67
2201228630413965,,198980770851754,"Chim Cút",,2623,"03/15/2026 01:19",,,"Trọn đời",153499,68829,9089,5384428.65,32.915,64010,8606,3543,2297,34,1212
2073673459848219,,198980770851754,"Chim Cút",,24,"03/16/2026 16:48",,,"Trọn đời",14761,9171,0,181610.149,11.634,8495,0,307,246,56,5
1475680103906589,,198980770851754,"Chim Cút","Peter Lynch vừa “chỉ trích” thẳng mọi nhà đầu tư cá nhân:",36,"03/17/2026 20:58",,,"Trọn đời",3001,1599,0,29628.018,8.184,1434,0,82,74,2,6
2059759044596665,,198980770851754,"Chim Cút","Petrodollar là gì? Vì sao dầu mỏ lại giúp đồng USD thống trị thế giới?",483,"03/18/2026 04:57",,,"Trọn đời",135877,49624,5537,2496900.271,18.036,47241,5433,2688,1874,38,776
2381448515624083,,198980770851754,"Chim Cút","Khi AI tư vấn cho FO",237,"01/10/2026 05:27",,,"Trọn đời",7211,3337,209,74462.664,10.388,2959,201,147,115,20,12
848379138035058,,198980770851754,"Chim Cút","Sử dụng AI học kiến thức",1881,"01/15/2026 04:43",,,"Trọn đời",4848,2840,175,81695.518,14.474,2301,164,106,83,15,8
