"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Số Giây xem","Số Giây xem trung bình","Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo","Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Lượt xem video trong tối thiểu 1 phút","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút"
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/11/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/13/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/14/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/15/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/17/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/18/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/19/2026,0,1,4.235,4.235,0,1,0,0,0,0,0,1,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/20/2026,0,0,1.485,0.742,0,0,0,0,0,0,0,0,0
