period,report_period,ticker,Sales,Sales deductions,Net sales,Cost of sales,Gross Profit,Financial income,Financial expenses,Interest expenses,Selling expenses,General and admin expenses,Operating profit/(loss),Other incomes,Other expenses,Net other income/(expenses),Income from investments in other entities,Net accounting profit/(loss) before tax,Business income tax - current,Business income tax - deferred,Corporate income tax expenses,Net profit/(loss) after tax,Minority interests,Attributable to parent company,EPS basic (VND),EPS diluted (VND),Gain/(loss) from joint ventures (from 2015)
2018-Q4,quarter,PNJ,4095665398691.0,-32271741000.0,4063393657691.0,-3237254493017.0,826139164674.0,517262139.0,-21221091678.0,-21014783481.0,-351492758857.0,-118550695082.0,335391881196.0,1923401015.0,-1193348243.0,730052772.0,0.0,336121933968.0,-74441478043.0,3858482734.0,-70582995309.0,265538938659.0,0.0,265538938659.0,1591.0,0.0,0.0
2019-Q1,quarter,PNJ,4820598280382.0,-37106690686.0,4783491589696.0,-3734137817255.0,1049353772441.0,1034702485.0,-24316187250.0,-24010156644.0,-367183975911.0,-115618582051.0,543269729714.0,2330717554.0,-2362402836.0,-31685282.0,0.0,543238044432.0,-114491729152.0,0.0,-114491729152.0,428746315280.0,0.0,428746315280.0,2567.0,0.0,0.0
2019-Q2,quarter,PNJ,2983350469961.0,-21521889924.0,2961828580037.0,-2326094975065.0,635733604972.0,28063167.0,-22265531891.0,-21364384129.0,-286944355915.0,-116157993501.0,210393786832.0,254365224.0,-581168885.0,-326803661.0,0.0,210066983171.0,-40915418903.0,0.0,-40915418903.0,169151564268.0,0.0,169151564268.0,-69.0,0.0,0.0
2019-Q3,quarter,PNJ,3966255895350.0,-32237245468.0,3934018649882.0,-3180963642552.0,753055007330.0,241691350.0,-31055088259.0,-28990878493.0,-340804458651.0,-113728530457.0,267708621313.0,704916122.0,-385648795.0,319267327.0,0.0,268027888640.0,-60034530457.0,0.0,-60034530457.0,207993358183.0,0.0,207993358183.0,934.0,0.0,0.0
2019-Q4,quarter,PNJ,5374046800939.0,-52704540031.0,5321342260908.0,-4298771153390.0,1022571107518.0,687830958.0,-41213578323.0,-41002191152.0,-367632953860.0,-133606551921.0,480805854372.0,1470924189.0,-935460083.0,535464106.0,0.0,481341318478.0,-99569513025.0,3031393395.0,-96538119630.0,384803198848.0,0.0,384803198848.0,1708.0,0.0,0.0
2020-Q1,quarter,PNJ,5047369321706.0,-46478904081.0,5000890417625.0,-3951333995980.0,1049556421645.0,3999243952.0,-45546371299.0,-40379080111.0,-368002269304.0,-128076661270.0,511930363724.0,432630762.0,-662199155.0,-229568393.0,0.0,511700795331.0,-104160277315.0,721651767.0,-103438625548.0,408262169783.0,0.0,408262169783.0,1812.0,0.0,0.0
2020-Q2,quarter,PNJ,2769528845620.0,-24726646013.0,2744802199607.0,-2271304837096.0,473497362511.0,-3213345233.0,-41805650739.0,-44251598481.0,-289339969961.0,-96342283167.0,42796113411.0,614534228.0,-719774676.0,-105240448.0,0.0,42690872963.0,-10959902195.0,-70485610.0,-11030387805.0,31660485158.0,0.0,31660485158.0,-57.0,0.0,0.0
2020-Q3,quarter,PNJ,3962201288187.0,-39827405773.0,3922373882414.0,-3188043827778.0,734330054636.0,746730937.0,-42998465686.0,-40680147467.0,-318785521610.0,-113040437997.0,260252360280.0,1865755937.0,-6022389105.0,-4156633168.0,0.0,256095727112.0,-54364135632.0,354284619.0,-54009851013.0,202085876099.0,0.0,202085876099.0,897.0,0.0,0.0
2020-Q4,quarter,PNJ,5903043165174.0,-60091419311.0,5842951745863.0,-4665569863768.0,1177381882095.0,1440390332.0,-31794661440.0,-29105868217.0,-444760732572.0,-168113412171.0,534153466244.0,2572927223.0,-1233320158.0,1339607065.0,0.0,535493073309.0,-109938162272.0,1746663184.0,-108191499088.0,427301574221.0,0.0,427301574221.0,1877.0,0.0,0.0
2021-Q1,quarter,PNJ,7234561357052.0,-52789893715.0,7181771463337.0,-5856651852958.0,1325119610379.0,5562623858.0,-25372204148.0,-22770252958.0,-503024843329.0,-153160847424.0,649124339336.0,1786445968.0,-2622736045.0,-836290077.0,0.0,648288049259.0,-135554338054.0,-121502395.0,-135675840449.0,512612208810.0,0.0,512612208810.0,2252.0,0.0,0.0
2021-Q2,quarter,PNJ,4513830098175.0,-58421596603.0,4455408501572.0,-3620339477995.0,835069023577.0,4164887513.0,-22989179078.0,-21034959436.0,-420390087670.0,-125031681970.0,270822962372.0,4002783080.0,-1614314191.0,2388468889.0,0.0,273211431261.0,-41569299846.0,-8985027615.0,-50554327461.0,222657103800.0,0.0,222657103800.0,817.0,0.0,0.0
2021-Q3,quarter,PNJ,890098972480.0,-13131732462.0,876967240018.0,-721083564561.0,155883675457.0,3514070576.0,-28519214071.0,-27735712834.0,-250770901767.0,-73547290316.0,-193439660121.0,244554611.0,-314270684.0,-69716073.0,0.0,-193509376194.0,33466703700.0,514281430.0,33980985130.0,-159528391064.0,0.0,-159528391064.0,0.0,0.0,0.0
2021-Q4,quarter,PNJ,7176172897335.0,-77268025826.0,7098904871509.0,-5842079070664.0,1256825800845.0,3084532848.0,-41372137098.0,-32839348932.0,-519454214618.0,-120674471488.0,578409510489.0,2730958643.0,-21780987760.0,-19050029117.0,0.0,559359481372.0,-120259337045.0,18077348168.0,-102181988877.0,457177492495.0,0.0,457177492495.0,1841.0,0.0,0.0
2022-Q1,quarter,PNJ,10229010768820.0,-86293516235.0,10142717252585.0,-8381925540519.0,1760791712066.0,5106586566.0,-34536623688.0,-30870653257.0,-642075911775.0,-176086421117.0,913199342052.0,809323251.0,-722689429.0,86633822.0,0.0,913285975874.0,-192534695294.0,321371651.0,-192213323643.0,721072652231.0,0.0,721072652231.0,1714.0,0.0,0.0
2022-Q2,quarter,PNJ,8142746815789.0,-74971254021.0,8067775561768.0,-6618589759477.0,1449185802291.0,10439323933.0,-22072990125.0,-12947618655.0,-753892387936.0,-180600090579.0,503059657584.0,3283747446.0,-29346032351.0,-26062284905.0,0.0,476997372679.0,-110129298238.0,166215025.0,-109963083213.0,367034289466.0,0.0,367034289466.0,2613.0,0.0,0.0
2022-Q3,quarter,PNJ,7443393767391.0,-79413872253.0,7363979895138.0,-6116067808131.0,1247912087007.0,6432035915.0,-32690598088.0,-17219503105.0,-725579722879.0,-167343706400.0,328730095555.0,2376687235.0,-1476171705.0,900515530.0,0.0,329630611085.0,-77698468462.0,338269156.0,-77360199306.0,252270411779.0,0.0,252270411779.0,971.0,0.0,0.0
2022-Q4,quarter,PNJ,8395977590240.0,-93995740578.0,8301981849662.0,-6833077187073.0,1468904662589.0,37001720651.0,-57113684457.0,-33105656391.0,-706660621786.0,-150744178642.0,591387898355.0,2444721244.0,-2507725083.0,-63003839.0,0.0,591324894516.0,-137723904199.0,12817928274.0,-124905975925.0,466418918591.0,0.0,466418918591.0,1778.0,0.0,0.0
2023-Q1,quarter,PNJ,9890322046882.0,-94635550449.0,9795686496433.0,-7895734399319.0,1899952097114.0,14128237981.0,-38304682715.0,-34050208964.0,-759985338496.0,-174553964792.0,941236349092.0,3447066092.0,-1514134336.0,1932931756.0,0.0,943169280848.0,-194769308023.0,193774207.0,-194575533816.0,748593747032.0,0.0,748593747032.0,2215.0,0.0,0.0
2023-Q2,quarter,PNJ,6735502069493.0,-72186968721.0,6663315100772.0,-5453714405037.0,1209600695735.0,36075541696.0,-38669323444.0,-32980727532.0,-615791482206.0,-156324780155.0,434890651626.0,2353786061.0,-1173629656.0,1180156405.0,0.0,436070808031.0,-97439239686.0,-1042651374.0,-98481891060.0,337588916971.0,0.0,337588916971.0,891.0,0.0,0.0
2023-Q3,quarter,PNJ,6991365461426.0,-73819543649.0,6917545917777.0,-5719911177800.0,1197634739977.0,26923762232.0,-36011980249.0,-28872005523.0,-697134967387.0,-175225524113.0,316186030460.0,617662222.0,-3512242463.0,-2894580241.0,0.0,313291450219.0,-60233629635.0,277272112.0,-59956357523.0,253335092696.0,0.0,253335092696.0,724.0,0.0,0.0
2023-Q4,quarter,PNJ,9864419377152.0,-104037695705.0,9760381681447.0,-8008978267079.0,1751403414368.0,20255561971.0,-29152250574.0,-22665862084.0,-762857681713.0,-187413955658.0,792235088394.0,5444094007.0,-1034009125.0,4410084882.0,0.0,796645173276.0,-165182370816.0,503585976.0,-164678784840.0,631966388436.0,0.0,631966388436.0,1742.0,0.0,0.0
2024-Q1,quarter,PNJ,12703109376152.0,-109270487169.0,12593838888983.0,-10444502363030.0,2149336525953.0,14212504829.0,-23941097072.0,-14581491649.0,-975897025645.0,-227103984889.0,936606923176.0,1920174994.0,-2928004034.0,-1007829040.0,0.0,935599094136.0,-197926764862.0,134697493.0,-197792067369.0,737807026767.0,0.0,737807026767.0,2064.0,0.0,0.0
2024-Q2,quarter,PNJ,9605148405359.0,-86449270145.0,9518699135214.0,-8037576726745.0,1481122408469.0,7995610373.0,-13817663903.0,-3455400059.0,-759168704925.0,-179166732604.0,536964917410.0,2304026464.0,-5991529873.0,-3687503409.0,0.0,533277414001.0,-114798729943.0,9920772214.0,-104877957729.0,428399456272.0,0.0,428399456272.0,1183.0,1183.0,0.0
2024-Q3,quarter,PNJ,7225789054822.0,-96177851976.0,7129611202846.0,-5879029148365.0,1250582054481.0,24894603085.0,-12977217232.0,-6438807781.0,-766263429454.0,-181399247814.0,314836763066.0,4025704624.0,-843217720.0,3182486904.0,0.0,318019249970.0,-102557681117.0,373615835.0,-102184065282.0,215835184688.0,0.0,215835184688.0,645.0,0.0,0.0
2024-Q4,quarter,PNJ,8698354347717.0,-117666403375.0,8580687944342.0,-6788226293053.0,1792461651289.0,28464720237.0,-42880802744.0,-22299606340.0,-706245531150.0,-208079390615.0,863720647017.0,1763875043.0,-1367830859.0,396044184.0,0.0,864116691201.0,-200193714714.0,66951638732.0,-133242075982.0,730874615219.0,0.0,730874615219.0,1864.0,0.0,0.0
2025-Q1,quarter,PNJ,9759650683046.0,-124554268544.0,9635096414502.0,-7586766309432.0,2048330105070.0,37651295970.0,-37041222735.0,-28848391611.0,-1005693098938.0,-193730064073.0,849517015294.0,5101406769.0,-381163358.0,4720243411.0,0.0,854237258705.0,-176173197786.0,-336142794.0,-176509340580.0,677727918125.0,0.0,677727918125.0,1845.0,0.0,0.0
2025-Q2,quarter,PNJ,7664650341452.0,-82200767315.0,7582449574137.0,-5953476887712.0,1628972686425.0,24247252211.0,-46383324153.0,-32672703171.0,-855377092177.0,-203474925240.0,547984597066.0,3881275230.0,-4473052728.0,-591777498.0,0.0,547392819568.0,-114022880028.0,3627311274.0,-110395568754.0,436997250814.0,0.0,436997250814.0,1236.0,1236.0,0.0
2025-Q3,quarter,PNJ,8235605818836.0,-100101386950.0,8135504431886.0,-6528295097135.0,1607209334751.0,28316452524.0,-30542311945.0,-24063535984.0,-757519233823.0,-240445601201.0,607018640306.0,21994473824.0,-3259932669.0,18734541155.0,0.0,625753181461.0,-130405520743.0,356918439.0,-130048602304.0,495704579157.0,0.0,495704579157.0,1370.0,0.0,0.0
2025-Q4,quarter,PNJ,9750682769282.0,-127690260415.0,9622992508867.0,-7223656327099.0,2399336181768.0,46088225683.0,-39201911986.0,-33497968561.0,-704112549569.0,-186745261351.0,1515364684545.0,10211754257.0,-5120207745.0,5091546512.0,0.0,1520456231057.0,-429055377351.0,126666861088.0,-302388516263.0,1218067714794.0,0.0,1218067714794.0,3201.0,0.0,0.0
2026-Q1,quarter,PNJ,17366657543714.0,-121426544426.0,17245230999288.0,-13804325099087.0,3440905900201.0,52416783827.0,-55085199262.0,-50571525907.0,-1352019120210.0,-222121791475.0,1864096573081.0,3581632251.0,-2867586261.0,714045990.0,0.0,1864810619071.0,-397469140456.0,63842729.0,-397405297727.0,1467405321344.0,0.0,1467405321344.0,4017.0,0.0,0.0
